Open_Time_ms,Open,High,Low,Close,Volume,Close_Time_ms,Quote_Asset_Volume,Number_of_Trades,Taker_Buy_Base_Asset_Volume,Taker_Buy_Quote_Asset_Volume
1775055600000,2126.82,2137.72,2122.2,2135.04,10423.5636,1775059199999,22212264.565211,179540,5031.6157,10724073.103072
1775059200000,2135.04,2152.51,2125.0,2146.09,19652.133,1775062799999,42062669.345958,209404,11230.1612,24048264.115233
1775062800000,2146.1,2167.85,2133.96,2137.21,28614.9498,1775066399999,61541880.929655,271440,13583.02,29229366.593153
1775066400000,2137.21,2137.87,2123.58,2129.23,14904.4013,1775069999999,31743278.52023,207333,8495.4848,18095340.258785
1775070000000,2129.23,2145.48,2128.0,2141.43,11467.5825,1775073599999,24520807.792717,136244,7184.3414,15365837.897
1775073600000,2141.43,2147.67,2130.7,2143.92,8588.3705,1775077199999,18364370.411808,98807,4364.7981,9334806.019347
1775077200000,2143.92,2165.42,2143.32,2156.89,33515.885,1775080799999,72249250.640046,156532,20634.0216,44482425.457702
1775080800000,2156.89,2158.8,2137.4,2139.95,36336.0172,1775084399999,78053978.101705,168299,17363.4843,37294702.916913
1775084400000,2139.96,2146.0,2135.5,2140.35,6497.7531,1775087999999,13914166.087977,92221,3158.2696,6763806.15639
1775088000000,2140.35,2159.37,2136.09,2156.14,12242.365,1775091599999,26283941.024224,176659,6028.5166,12946313.975016
1775091600000,2156.14,2156.15,2090.0,2100.03,50106.9533,1775095199999,106194671.322585,695321,22283.5553,47232307.184114
1775095200000,2100.02,2100.02,2065.0,2073.89,25331.829,1775098799999,52720890.610179,295061,12125.6029,25229561.950675
1775098800000,2073.9,2076.67,2046.48,2056.33,21103.372,1775102399999,43490303.440048,191641,8654.3431,17841252.242616
1775102400000,2056.33,2058.45,2041.77,2044.56,12765.2209,1775105999999,26157675.663434,159720,4577.177,9383412.649358
1775106000000,2044.57,2051.38,2038.63,2050.21,11421.8962,1775109599999,23367301.547843,136585,5485.977,11226608.441912
1775109600000,2050.21,2053.71,2045.56,2050.09,11368.962,1775113199999,23296574.464421,121993,4309.446,8831214.255466
1775113200000,2050.09,2056.76,2044.29,2056.09,10318.0667,1775116799999,21171650.844452,113634,5540.2457,11368405.335397
1775116800000,2056.09,2056.09,2045.36,2046.29,7587.7213,1775120399999,15552530.394163,87746,3666.0549,7514822.212287
1775120400000,2046.3,2048.14,2039.27,2044.0,9339.0191,1775123999999,19095362.826648,111110,4949.6205,10122960.853668
1775124000000,2044.0,2045.05,2032.54,2038.79,9437.2718,1775127599999,19227048.211561,108752,3896.591,7939698.517975
1775127600000,2038.8,2040.28,2024.73,2033.01,8412.9595,1775131199999,17108489.417279,116725,3892.1596,7917481.059539
1775131200000,2033.02,2034.03,2024.42,2026.98,11287.8209,1775134799999,22911754.002148,160200,5597.6276,11363860.641035
